R.A.,Decl.,GaiaEDR3
310.19402,34.11743,1864121982365984128
356.26684,50.9652,1943858286426802304
320.17691,40.24297,1965596391525733120
109.74027,7.65367,3154801672464733440
129.05426,-8.03995,5753841281270433536
352.22684,64.26275,2209063896962507520
311.65906,51.79319,2182023160826160000
79.52903,-23.14588,2961366588952039552
126.95875,-27.61052,5646693014160460416
18.41288,22.96084,2791084432881749760
112.27269,-18.61764,3026543267432558336
107.67521,66.92872,1102107819544067456
125.22307,0.14541,3077510098136276480
204.70058,-2.03039,3637481302758519040
61.34537,50.73949,250657727370153472
4.15468,78.92195,564551735705888384
282.19609,11.95561,4504497623459700992
338.58958,24.94919,1877320760449993216
301.71988,4.270338,4247741141287799680
306.40622,-12.00433,6880002734442865920
322.92266,46.90833,1978219536621659136
315.07248,-14.19017,6888269309535155456
290.67035,26.4043,2025568909688842112
349.67784,82.53852,2287403962995179264
348.84423,58.48,2010408220561381632
283.07503,-21.79744,4078817195637328256
233.45602,37.99106,1375814952762454272
111.12425,-21.17284,5619901038222784768
319.55255,40.79099,1968673301791825920
283.03169,14.76307,4507223312777873280
280.17673,7.05606,4286518927853983360
326.73603,66.26855,2219505890166498048
282.46445,-13.67621,4102198997623267456
96.62394,-2.84625,3117155669938231552
308.89592,35.73469,2056653885784893952
306.31183,58.85225,2188514226495429632
118.37031,72.4068,1110899853820753792
279.58508,5.00373,4283927443344408960
351.71862,12.50606,2812551023024830720
294.76892,11.18227,4303030190905072640
137.58201,78.17318,1131845039229607680
340.21327,54.63084,2003241230122936064
317.98098,33.43218,1866796475676061056
286.55537,-0.8563,4262586854711451904
314.51502,36.0831,1869815700251723392
301.04835,14.19727,1806486197003559040
277.71017,43.52205,2111853428244955264
79.94864,-19.28166,2969438206889996160
311.35609,32.00379,1862846132257229312
306.28696,42.79075,2068952271239193344
284.85281,7.85063,4307083884080817792
295.02546,4.35965,4290201742045065344
247.68937,18.02232,4467130720760209152
336.63336,61.98438,2202073408192045056
70.47707,16.6104,3310121300640873984
309.11556,23.83959,1819387836386252672
122.11083,32.04179,901929564359845888
277.82745,26.9367,4585381817643702528
